"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000197381",290.417828691914,-1.25950369516604,1.34961228113043,15.1222043525311,0.0193272405686401,0.0768128970218157,"ADARB1"
"ENSG00000229659",14.1753976406335,-5.22032623885923,2.135597841535,15.1236160860332,0.0193167450171996,0.0768128970218157,NA
"ENSG00000036448",136.463438496802,-0.602733397320136,1.73143570082268,15.1185629846595,0.0193543375323926,0.0768818067240581,"MYOM2"
"ENSG00000204934",31.065246745286,-2.59694432993961,3.67259677747173,15.1182506147088,0.0193566636999603,0.0768818067240581,"ATP6V0E2-AS1"
"ENSG00000099308",814.481288562616,2.51798159354538,0.948994848158516,15.1172406711918,0.0193641864116504,0.0768951634413229,"MAST3"
"ENSG00000169718",168.169052739757,-2.39945878565454,0.871295829498751,15.1138170610934,0.01938970846711,0.0769799744447011,"DUS1L"
"ENSG00000152404",652.46189191601,2.06269525348269,0.613810164946156,15.1127524647042,0.019397651285845,0.0769949718743491,"CWF19L2"
"ENSG00000112773",1571.92473638324,-0.124195666258925,0.547231998672373,15.1097645740355,0.0194199601734676,0.0770669737669707,"FAM46A"
"ENSG00000160991",1006.11713681865,-0.28606862679578,0.349927807923662,15.1037120012406,0.0194652264731752,0.0772300303405544,"ORAI2"
"ENSG00000137393",1413.16276322655,-0.0350849215577454,0.673433532962859,15.0965219312836,0.0195191309874377,0.0774272824684088,"RNF144B"
"ENSG00000266976",22.2276427695585,-6.49025617416426,3.71108192954814,15.0910615049052,0.0195601635008349,0.0775734010540515,NA
"ENSG00000136003",769.033000549049,0.427781163580822,0.642319290200573,15.0864796170472,0.0195946578006401,0.0776935326994494,"ISCU"
"ENSG00000148019",578.198491852336,-1.68425177007488,0.714127378442316,15.0777206358696,0.0196607607739782,0.0779222047399202,"CEP78"
"ENSG00000255364",46.1637519435174,-21.7481977306298,3.48392915332019,15.0777931196485,0.0196602128743433,0.0779222047399202,"LOC105375734"
"ENSG00000184305",236.278693616087,2.02564475008522,0.896081659421489,15.0662123705764,0.019747936200927,0.0782509326203934,"CCSER1"
"ENSG00000136897",1221.842982807,0.647161800090409,0.530808559338364,15.0656156607512,0.0197524663502249,0.0782521089764055,"MRPL50"
"ENSG00000065559",487.096253379832,0.245908476913677,0.720950796949921,15.0618793906125,0.0197808542432996,0.0783321786016936,"MAP2K4"
"ENSG00000136193",1156.44111291834,1.23947315614435,0.540215501331154,15.0618401218691,0.0197811528110742,0.0783321786016936,"SCRN1"
"ENSG00000124383",1588.10620241645,-0.636898564129038,0.430287709810114,15.057520576332,0.0198140214398797,0.0784455314448868,"MPHOSPH10"
"ENSG00000244086",54.4784842329071,0.153046619641202,0.533841250466301,15.0568699206185,0.0198189769803286,0.0784483489253479,NA
"ENSG00000228288",33.871083323796,10.1994830969,3.17564291107453,15.0522591337372,0.0198541277111438,0.0785706595462411,"PCAT6"
"ENSG00000161010",206.10832370692,0.88243308234348,0.964600260912667,15.0509627587606,0.0198640214590446,0.0785929873010358,"C5orf45"
"ENSG00000267422",32.6678326469004,0.216542885369013,0.537345100875467,15.0453716460852,0.0199067460152111,0.0787451744256746,NA
"ENSG00000047249",983.960168693251,0.119805597327695,0.483274175822866,15.0428486069075,0.0199260545814966,0.0788046895462057,"ATP6V1H"
"ENSG00000167600",39.9105868436402,-4.63721821907937,3.37037082322108,15.040128514822,0.0199468912141721,0.0788702211965714,"CYP2S1"
"ENSG00000267503",36.728613437813,-6.60272189440095,2.34250959356575,15.0376419994215,0.0199659567947975,0.0789287235568501,NA
"ENSG00000158604",4085.9829993845,0.197784711506879,0.336742563611149,15.0354090564023,0.0199830929201129,0.0789759107183411,"TMED4"
"ENSG00000196632",29.0783077706074,5.66836688970689,3.11754960800919,15.0342754687429,0.019991797711475,0.0789759107183411,"WNK3"
"ENSG00000213280",47.7825282274586,-0.261722348871997,1.06503681200298,15.0344255703511,0.0199906448769598,0.0789759107183411,NA
"ENSG00000244036",41.4958879115362,-7.54405812209593,2.31238550899907,15.0338607701891,0.0199949830761069,0.0789759107183411,NA
"ENSG00000162191",2203.37860956299,0.951973338248861,0.429691267770692,15.029316116293,0.020029923057902,0.079097015109019,"UBXN1"
"ENSG00000162607",1807.66294337202,-1.86674947328384,0.768069480240075,15.0286842171822,0.0200347858087759,0.0790993198793724,"USP1"
"ENSG00000083750",795.56367880494,1.55309903414924,0.603159175946131,15.0271414524757,0.020046662822088,0.0791293107551351,"RRAGB"
"ENSG00000131778",2396.22899329528,-0.467695480584532,0.280996411678796,15.0250803394052,0.0200625408477867,0.0791750784738123,"CHD1L"
